Smiles,Source
COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N(C)C,Enamine_antivirals
COCCNc1nc2n(C)c(=O)n(C)c(=O)c2n1CCOC,Enamine_antivirals
CC(=O)NCCc1nc2ccccc2n1CCOc1ccccc1,Enamine_antivirals
CN(CCNC(=O)Nc1ccccn1)C1CCCCC1,Enamine_antivirals
CC(NC=O)c1nc2ccccc2n1CCOc1ccccc1C,Enamine_antivirals
CC(Cn1cccn1)NC(=O)C1CCCN(C1)C(=O)C,Enamine_antivirals
CCC(CNC(=O)Nc1nccs1)N1CCCC1,Enamine_antivirals
CN(C)S(=O)(=O)c1ccc(=O)n(CC(=O)NC(=O)NC2CC2)c1,Enamine_antivirals
CNC(=O)c1ccc(=O)n(CC(=O)NC2CCCCC2C)c1,Enamine_antivirals
O=C(NC1CCN2CCCCC12)Nc1ccc(nc1)N1CCCCC1,Enamine_antivirals
CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCC(C)C1,Enamine_antivirals
CNc1nc2n(C)c(=O)[nH]c(=O)c2n1CCOC,Enamine_antivirals
Cc1ccccc1OCCn1c(CO)nc2ccccc12,Enamine_antivirals
CC(C)NC(=O)CCNCCn1cccn1,Enamine_antivirals
CC(NC=O)c1nc2ccccc2n1CCOc1ccccc1Cl,Enamine_antivirals
CC(=O)N1CCC(CC1)NC(=O)NCCc1cnn(C)c1,Enamine_antivirals
O=C(NCC1CC1)Nc1ccc(nc1)N1CCCCC1,Enamine_antivirals
CN1C2CCCC1CC(C2)NC(=O)Nc1ccc(nc1)N1CCCC1,Enamine_antivirals
O=C(Cn1ccc(=O)[nH]c1=O)NCCSC1CCCC1,Enamine_antivirals
COCCn1c(SCC(=O)Nc2cc(C)on2)nc2ccccc12,Enamine_antivirals
COCCn1c(nc2n(C)c(=O)n(C)c(=O)c12)N1CCNCC1,Enamine_antivirals
COCCNc1nc2n(C)c(=O)[nH]c(=O)c2n1CCOC,Enamine_antivirals
FC(F)(F)c1cc(Cl)c(=O)n(CC(=O)NC2CC2)c1,Enamine_antivirals
FC(F)(F)C(=O)N1CCC(CNC(=O)Cn2ccccc2=O)CC1,Enamine_antivirals
COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCCCC1,Enamine_antivirals
FC(F)(F)CNC(=O)NCc1ccc(nc1)N1CCOCC1,Enamine_antivirals
Cn1c(=O)n(CC(O)c2ccc(F)cc2)c2ccccc12,Enamine_antivirals
FC(F)(C(=O)NCCC(=O)N1CCCCC1)c1ccccn1,Enamine_antivirals
CC1CCCC(C1)NC(=O)Cn1ccc(=O)n(C)c1=O,Enamine_antivirals
COCCn1c(SCC(=O)N)nc2ccccc12,Enamine_antivirals
COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCC(C)CC1,Enamine_antivirals
CCNc1nc2n(C)c(=O)[nH]c(=O)c2n1CCOC,Enamine_antivirals
Clc1cnn(CC(=O)NCC2CCCCC2)c(=O)c1Cl,Enamine_antivirals
CC1(C)CCCC1NC(=O)Nc1ccn(CC(F)F)n1,Enamine_antivirals
CCn1cc(NC(=O)NC(C)C2CCCO2)cn1,Enamine_antivirals
O=C(NCC1(CCSC1)N1CCOCC1)Nc1cccnc1,Enamine_antivirals
NC(=O)Cn1c(SCC(=O)NC2CC2)nnc1C1CC1,Enamine_antivirals
CC(CNC(=O)Nc1cccnc1N1CCCC1)N1CCOCC1,Enamine_antivirals
Cn1c(=O)ccn(CC(=O)NCCC2=CCCCC2)c1=O,Enamine_antivirals
CCCCn1c(N)c(N2CCOCC2)c(=O)[nH]c1=O,Enamine_antivirals
COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N(C)Cc1ccccc1,Enamine_antivirals
COCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CC(C)CC(C)C1,Enamine_antivirals
CC(NC(=O)Cn1cc(ccc1=O)C(F)(F)F)C1CC2CCC1C2,Enamine_antivirals
CCCCOCC(=O)Nc1ccc(nn1)C1CC1,Enamine_antivirals
CC(NC(=O)Nc1ccc(nc1)N1CCOCC1)C1CCCO1,Enamine_antivirals
COCCn1nc(ccc1=O)C(=O)NC1CCCC(C)C1,Enamine_antivirals
CC(C)CCNC(=O)Cc1csc(NC(=O)C2CC2)n1,Enamine_antivirals
CC(Cn1ccnc1)NC(=O)N1CC(C)OC(C)C1,Enamine_antivirals
CC1CCCCC1OCCNC(=O)Cn1ccccc1=O,Enamine_antivirals
CCCn1c(N)c(N2CCOCC2)c(=O)[nH]c1=O,Enamine_antivirals
CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCC(C)CC1,Enamine_antivirals
CCOCCn1c(CCCO)nc2ccccc12,Enamine_antivirals
CS(=O)(=O)c1ccc(NC(=O)NC2CCN3CCCCC23)cn1,Enamine_antivirals
CNC(=O)c1ccc(=O)n(CC(=O)NC(C)C2CC3CCC2C3)c1,Enamine_antivirals
CN(C)c1ccc(NC(=O)NCCN2CCCCCC2=O)cn1,Enamine_antivirals
Cc1nc(CCNC(=O)N2CCC(CO)CC2)cs1,Enamine_antivirals
O=C(Cn1ccc(=O)[nH]c1=O)NC(C1CC1)C1CC1,Enamine_antivirals
COc1ncccc1NC(=O)NC(C)CN1CCOCC1,Enamine_antivirals
OCc1nc2ccccc2n1CC(O)COCc1ccccc1F,Enamine_antivirals
