ID,compound_id,Smiles,pKi
133,CHEMBL222090,C[N+]1(C)CCC(N2CC(c3ccccc3)(c3ccccc3)NC2=O)C1,6.064492734
134,CHEMBL291562,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](C#C[C@H]3CCC[C@H](C)N3C)[C@@H]12,5.94000137
135,CHEMBL4127428,C[C@@]1(C(=O)O[C@H]2CN3CCC2CC3)COCC(c2ccccc2)(c2ccccc2)O1,6.699991797
136,CHEMBL2432044,CN(CCc1ccccc1)[C@H]1C2C3CC4C2C(=O)C2C4C3C21,5.712422191
137,CHEMBL314493,CN1C2CCCC1C(OC(=O)OCC(Cl)(Cl)Cl)C2,6.06119916
138,CHEMBL2441756,C[N+](C)(C)C[C@@H]1CNC(=O)O1,4
139,CHEMBL2114068,C=C(c1ccc([S@@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,10.52287875
140,CHEMBL375969,C[N+]1(C)CCC[C@H]1[C@H]1CSC(c2ccccc2)(c2ccccc2)O1,9.33003263
141,CHEMBL421113,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(S(=O)(=O)CCC)CC2)CC1,9.537751836
142,CHEMBL90199,CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc(OC)cc5)cc4)SCCCS3)CC2)CC1,7.844663963
143,CHEMBL72494,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(S(=O)(=O)c3ccccc3)CC2)CC1,9.443878531
144,CHEMBL2426669,COc1ccc(CC(=O)N2CCC3(CC2)CN([C@@H](C)c2ccc(-c4ncccn4)cc2)C3)nc1,5.650000221
145,CHEMBL3323280,CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+]1(C)[C@@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,8.069991377
146,CHEMBL354636,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN3CCCC4CCCCC43)[C@@H]12,7.886056648
147,CHEMBL105160,CCCCCCc1[nH]c2ccc3c(c2c1C(=O)OCC)CN1CCc2cc(OC)ccc2C1O3,5.34000018
148,CHEMBL227429,C[C@H]1COC[C@H](C[N+](C)(C)C)O1,5.280000381
149,CHEMBL423746,OC1(c2cccnc2)CN2CCC1CC2,4.568636236
150,CHEMBL164762,COc1ccc(S(=O)(=O)c2ccc([C@@H](C)N3CCN(C4CCCCC4)[C@H](C)C3)cc2)cc1,9.853871964
151,CHEMBL221400,O=C1NC(c2ccccc2)(c2ccccc2)CN1C1CC2CCC(C1)N2Cc1ccccc1,7.187086643
152,CHEMBL73234,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,6.777283529
153,CHEMBL2030626,C1CC2CCC1N2CC12C3C4C5C3C1C5C42,6.15739076
154,CHEMBL104332,C=CCOC(=O)c1c(C)n(Cc2ccc(OC)cc2)c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,6.62000596
155,CHEMBL239655,Cc1cc(OCC#CC[N+](C)(C)C)no1,7.301029996
156,CHEMBL12112,CC(C)Sc1ccc(CC2CCN(C3CCN(C(=O)c4cnnc5ccccc45)CC3)CC2)cc1,6.591760035
157,CHEMBL302145,NCc1cccc(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)c1,5.537602002
158,CHEMBL3323283,C[N+](C)(CCCCCC[N+]1(C)[C@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21)CCCN1C(=O)c2ccccc2C1=O,7.970016172
159,CHEMBL220393,C[N+]1(C)CCC[C@@H]1[C@@H]1CS[C@](c2ccccc2)(C2CCCCC2)O1,8.830031826
160,CHEMBL166685,CC(=O)Nc1ccccc1C(=O)N1CCC(N2CCN([C@@H](C)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)[C@H](C)C2)CC1,8.356547324
161,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.286761538
162,CHEMBL163686,COc1ccc(S(=O)(=O)c2ccc([C@H](C)N3CCN(C4CCN(C(=O)c5ccccc5C)CC4)C[C@H]3C)cc2)c(OC)c1OC,6.354577731
163,CHEMBL29808,C=Cc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5
164,CHEMBL2114066,COc1ccc([S@+]([O-])c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,7.761953897
165,CHEMBL69582,NCCN1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,6.086186148
166,CHEMBL4128497,C[C@]1(C(=O)O[C@@H]2CN3CCC2CC3)COCC(c2ccccc2)(c2ccccc2)O1,6.36999951
167,CHEMBL553434,Cc1ccc([C@H]2CCC[N+]2(C)C)o1,5.570000775
168,CHEMBL12228,Cc1cccc(C(=O)N2CCC(N3CCC(Cc4ccc(SC(C)C)cc4)CC3)CC2)c1N,7.698970004
169,CHEMBL2205812,COc1ccc(CCN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1,6.665546249
170,CHEMBL200432,COC1(C#CC(O)(c2ccccc2)C2CCCC2)CN2CCC1CC2,8.494850022
171,CHEMBL359847,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H]([C@@H](O)C[C@H]3CCC(C)(C)N3C)[C@@H]12,5.853871964
172,CHEMBL269645,CC(C)Sc1ccc(CC2CCN(C3CCN(C(=O)c4ccno4)CC3)CC2)cc1,6.872895202
173,CHEMBL280684,CN(C)CCOC(=O)C1=C/C(=C\c2cccnc2)c2ccccc21,5.130000141
174,CHEMBL311795,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,6.30746749
175,CHEMBL66820,NCCCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,5.552841969
176,CHEMBL267014,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5
177,CHEMBL308566,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OCC)CC2)CC1,10.00777972
178,CHEMBL169494,CN(C)CCC1=C(Cc2ccccn2)c2ccccc2C1,6.630005338
179,CHEMBL435353,CN(C)C1(CNCCC2CCOCC2)COc2ccccc2OC1,8.22184875
