ID,Name,PubChem,CN,Smiles,Source
88,2-methylnaphthalene,7055,6,CC1=CC2=CC=CC=C2C=C1,FeatureCreature
89,"1,4-dimethylbenzene",7809,-4,CC1=CC=C(C=C1)C,FeatureCreature
90,1-methyl-4-isopropylbenzene,7463,4,CC1=CC=C(C=C1)C(C)C,FeatureCreature
91,4-methyl anisole,7731,7.4,CC1=CC=C(C=C1)OC,FeatureCreature
92,"2,5 dimethyl furan",12266,11,CC1=CC=C(O1)C,FeatureCreature
93,1-methylnaphthalene,7002,0,CC1=CC=CC2=CC=CC=C12,FeatureCreature
94,toluene,1140,-0.6,CC1=CC=CC=C1,FeatureCreature
95,"1,2-dimethylbenzene",7237,8.3,CC1=CC=CC=C1C,FeatureCreature
96,2-methyl furan,10797,8.9,CC1=CC=CO1,FeatureCreature
97,.-pinene,6654,25,CC1=CCC2CC1C2(C)C,FeatureCreature
98,"1,3,5-trimethylcyclohexane",,30.5,CC1CC(C)CC(C)C1,Saldana
99,"1,3,5-trimethylcyclohexane",35364,30.5,CC1CC(CC(C1)C)C,FeatureCreature
100,4-methyl-1-cyclohexene,11572,52,CC1CCC=CC1,FeatureCreature
101,methylcyclopentane,7296,17.2,CC1CCCC1,FeatureCreature
102,methylcyclohexane,7962,23.3,CC1CCCCC1,FeatureCreature
103,2-methyl tetrahydrofuran,7301,22,CC1CCCO1,FeatureCreature
104,rose oxide,27866,30,CC1CCOC(C1)C=C(C)C,FeatureCreature
105,n-propane,6334,-20,CCC,FeatureCreature
106,"3,12-diethyltetradeca-3,11-diene",,26,CCC(=CCCCCCCC=C(CC)CC)CC,Saldana
107,3-pentanone (DEK),7288,10,CCC(=O)CC,FeatureCreature
108,"2,2-dimethylbutane",6403,24.4,CCC(C)(C)C,FeatureCreature
109,"2,3-dimethylpentane",11260,22,CCC(C)C(C)C,FeatureCreature
110,sec-butylbenzene,8680,6,CCC(C)C1=CC=CC=C1,FeatureCreature
111,sec-butyldecalin,145244,34,CCC(C)C1CCCC2C1CCCC2,FeatureCreature
112,3-methylpentane,7282,30,CCC(C)CC,FeatureCreature
113,"2,6-dimethyloctane",16319,51.7,CCC(C)CCCC(C)C,FeatureCreature
114,"farnesane (2,6,10-trimethyldodecane)",19773,58.55,CCC(C)CCCC(C)CCCC(C)C,FeatureCreature
115,2-butanol,6568,8.5,CCC(C)O,FeatureCreature
116,3-ethylpentane,12048,34.1,CCC(CC)CC,FeatureCreature
117,4-ethyl guaiacol,62465,20,CCC1=CC(=C(C=C1)O)OC,FeatureCreature
118,"1,3-diethylbenzene",8864,5,CCC1=CC(=CC=C1)CC,FeatureCreature
