ID,Smiles,YSI,YSI_err,Source
433,CCC(C)C(C)O,37.7,2.1,Pfefferle
434,CCCCCCCC=O,37.5,2.1,Pfefferle
435,CCCOC(=O)CCC,37.3,2.1,Pfefferle
436,C=C(C)C(=O)OCCC,37.1,2.1,Pfefferle
437,CCCC(C)C,36.7,2.1,Pfefferle
438,CCCCC(C=O)CC,36.6,2.1,Pfefferle
439,CCOC(=O)CC(C)C,36.6,2.1,Pfefferle
440,CCCC(C)(C)O,36.4,2.1,Pfefferle
441,COC(=O)C=C(C)C,36.4,2.1,Pfefferle
442,CCC(C)CCO,36.3,2.1,Pfefferle
443,CCCC(=O)OC(C)C,36.3,2.1,Pfefferle
444,CCCCCC(=O)CC,36,2.2,Pfefferle
445,CCCCOC(C)=O,36,2.2,Pfefferle
446,CCCCCCC,36,2.2,Pfefferle
447,CCCC(=O)C(C)C,35.9,2.2,Pfefferle
448,CCC/C=C/C(=O)OC,35.9,2.2,Pfefferle
449,CCCC(C)CO,35.8,2.2,Pfefferle
450,CCCCCOC=O,35.7,2.2,Pfefferle
451,CC(C)CCCO,35.6,2.2,Pfefferle
452,CCC(C)OC(C)=O,34.9,2.2,Pfefferle
453,CC(=O)OCC(C)C,34.8,2.2,Pfefferle
454,CCCCCCCO,34.7,2.2,Pfefferle
455,CCCOC(=O)OCCC,34.5,2.2,Pfefferle
456,O=C1CCCCC1,34.3,2.2,Pfefferle
457,CCCCC(C)O,34.1,2.2,Pfefferle
458,C/C=C(\C)C(=O)OCC,34,2.2,Pfefferle
459,CCCC(O)CC,33.9,2.2,Pfefferle
460,CCCCCCC=O,33.8,2.2,Pfefferle
461,CC/C=C/C(=O)OC,33.6,2.2,Pfefferle
