ID,CID,Name,RON,Smiles,Source
88,25403,"2,3-Dimethyl-2-Pentene",97.5,CCC(=C(C)C)C,QMMGoogleDrive
89,140592,3-Ethyl-2-Methyl-2-Pentene,95.6,CCC(=C(C)C)CC,QMMGoogleDrive
90,11240,2-Methyl-1-Butene,98.3,CCC(=C)C,QMMGoogleDrive
91,81818,2-Ethyl-3-Methyl-1-Butene,97,CCC(=C)C(C)C,QMMGoogleDrive
92,12970,2-Ethyl-1-Butene,99.3,CCC(=C)CC,QMMGoogleDrive
93,12014,3-Methyl-2-Pentene,97.2,CCC(=CC)C,QMMGoogleDrive
94,13159,3-Ethyl-2-Pentene,93.7,CCC(=CC)CC,QMMGoogleDrive
95,6569,2-Butanone,105.3,CCC(=O)C,QMMGoogleDrive
96,7288,3-Pentanone,103,CCC(=O)CC,QMMGoogleDrive
97,14040,"2,4-Dimethyl-3-ethylpentane",105.3,CCC(C(C)C)C(C)C,QMMGoogleDrive
98,6403,"2,2-Dimethylbutane",91.8,CCC(C)(C)C,QMMGoogleDrive
99,11216,"2,3,3-Trimethyl-1-Pentene",106,CCC(C)(C)C(=C)C,QMMGoogleDrive
100,11215,"2,3,3-Trimethylpentane",106.1,CCC(C)(C)C(C)C,QMMGoogleDrive
101,18852,"3,3-Dimethyl-1-Pentene",103.5,CCC(C)(C)C=C,QMMGoogleDrive
102,137136,"4,4-Diethyl-1-Heptene",79.8,CCC(C)(C)CC=C,QMMGoogleDrive
103,14018,3-Methyl-3-ethylpentane,80.8,CCC(C)(CC)CC,QMMGoogleDrive
104,6556,2-Methylbutane,92.3,CCC(C)C,QMMGoogleDrive
105,18851,"2,3-Dimethyl-1-Pentene",99.3,CCC(C)C(=C)C,QMMGoogleDrive
106,13357,Methyl 2-methylbutanoate,110.5,CCC(C)C(=O)OC,QMMGoogleDrive
107,11255,"2,2,3-Trimethylpentane",109.6,CCC(C)C(C)(C)C,QMMGoogleDrive
108,11260,"2,3-Dimethylpentane",91.1,CCC(C)C(C)C,QMMGoogleDrive
109,23468,sec-Butylcyclohexane,51,CCC(C)C1CCCCC1,QMMGoogleDrive
110,12969,3-Methyl-1-Pentene,96,CCC(C)C=C,QMMGoogleDrive
111,7282,3-Methylpentane,74.5,CCC(C)CC,QMMGoogleDrive
112,23544,"3,3,5-Trimethylheptane",86.4,CCC(C)CC(C)(C)CC,QMMGoogleDrive
113,11511,"2,4-Dimethylhexane",65.2,CCC(C)CC(C)C,QMMGoogleDrive
114,19589,4-Methyl-1-Hexene,86.4,CCC(C)CC=C,QMMGoogleDrive
115,8723,2-methyl-butanol,101,CCC(C)CO,QMMGoogleDrive
116,6568,2-butanol,107,CCC(C)O,QMMGoogleDrive
117,140591,3-Ethyl-2-Methyl-1-Pentene,99.5,CCC(CC)C(=C)C,QMMGoogleDrive
118,28026,"2,2-Dimethyl-3-ethylpentane",112.1,CCC(CC)C(C)(C)C,QMMGoogleDrive
119,11863,2-Methyl-3-ethylpentane,87.3,CCC(CC)C(C)C,QMMGoogleDrive
120,19951,3-Ethyl-1-Pentene,95.6,CCC(CC)C=C,QMMGoogleDrive
121,12048,3-Ethylpentane,65,CCC(CC)CC,QMMGoogleDrive
122,5357255,2-Methyl-3-heptene (trans),94.4,CCC/C=C/C(C)C,FeatureCreature
123,35411,1-Methyl-1-ethylcyclohexane,68.7,CCC1(CCCCC1)C,QMMGoogleDrive
124,7500,Ethylbenzene,107,CCC1=CC=CC=C1,QMMGoogleDrive
125,137449,2-Ethylbicyclo(2.2.1)heptane,51.9,CCC1CC2CCC1C2,FeatureCreature
126,19502,1-Ethyl-3-Methylcyclopentane,57.6,CCC1CCC(C1)C,QMMGoogleDrive
127,15431,Ethylcyclopentane,67.2,CCC1CCCC1,QMMGoogleDrive
128,136729,1-Methyl-2-ethylcyclopentane,57.6,CCC1CCCC1C,QMMGoogleDrive
129,15504,Ethylcyclohexane,46.5,CCC1CCCCC1,QMMGoogleDrive
130,139398,Ethylcycloheptane,28,CCC1CCCCCC1,QMMGoogleDrive
131,7844,1-Butene,98.8,CCC=C,QMMGoogleDrive
132,12243,2-Methyl-2-Pentene,97.8,CCC=C(C)C,QMMGoogleDrive
133,138074,3-Methyl-3-Hexene,96.2,CCC=C(C)CC,QMMGoogleDrive
134,12585,2-Pentene,87.8,CCC=CC,QMMGoogleDrive
135,69649,"2,2-Dimethyl-3-Hexene",106,CCC=CC(C)(C)C,QMMGoogleDrive
136,39145,2-Methyl-3-Hexene,97.9,CCC=CC(C)C,QMMGoogleDrive
137,11601,3-Hexene,94,CCC=CCC,QMMGoogleDrive
138,175694,6-Methyl-3-Heptene,91.3,CCC=CCC(C)C,QMMGoogleDrive
139,7843,Butane,94,CCCC,QMMGoogleDrive
140,23528,"2,3-Dimethyl-2-Hexene",93.1,CCCC(=C(C)C)C,QMMGoogleDrive
141,12986,2-Methyl-1-Pentene,94.2,CCCC(=C)C,QMMGoogleDrive
142,7895,2-pentanone,105.7,CCCC(=O)C,QMMGoogleDrive
143,11509,3-hexanone,102,CCCC(=O)CC,FeatureCreature
144,12180,Methylbutanoate,107.2,CCCC(=O)OC,QMMGoogleDrive
145,7762,Ethyl buanoate,115.4,CCCC(=O)OCC,QMMGoogleDrive
146,11542,"2,2-Dimethylpentane",92.8,CCCC(C)(C)C,QMMGoogleDrive
147,26057,"2,2,3,3-Tetramethylhexane",112.8,CCCC(C)(C)C(C)(C)C,QMMGoogleDrive
148,11233,"3,3-Dimethylhexane",75.5,CCCC(C)(C)CC,QMMGoogleDrive
149,7892,2-Methylpentane,73.4,CCCC(C)C,QMMGoogleDrive
150,86061,"2,3-Dimethyl-1-Hexene",96.3,CCCC(C)C(=C)C,QMMGoogleDrive
151,140668,"3,3,4-Trimethylheptane",86.4,CCCC(C)C(C)(C)CC,QMMGoogleDrive
152,11447,"2,3-Dimethylhexane",71.3,CCCC(C)C(C)C,QMMGoogleDrive
153,18848,3-Methyl-1-Hexene,82.2,CCCC(C)C=C,QMMGoogleDrive
154,11507,3-Methylhexane,52,CCCC(C)CC,QMMGoogleDrive
155,11512,4-Methylheptane,26.7,CCCC(C)CCC,QMMGoogleDrive
156,22386,2-pentanol,99.4,CCCC(C)O,QMMGoogleDrive
157,12096,3-Ethylhexane,33.5,CCCC(CC)CC,QMMGoogleDrive
158,7668,Propylbenzene,111,CCCC1=CC=CC=C1,QMMGoogleDrive
159,16270,n-Propylcyclopentane,31.2,CCCC1CCCC1,QMMGoogleDrive
160,15505,n-Propylcyclohexane,17.8,CCCC1CCCCC1,QMMGoogleDrive
161,107252,1-Methyl-2-propylcyclohexane,29.9,CCCC1CCCCC1C,QMMGoogleDrive
162,8004,1-Pentene,87.9,CCCC=C,QMMGoogleDrive
163,19966,2-Hexene,92.7,CCCC=CC,QMMGoogleDrive
164,69655,2-Methyl-3-Heptene,94.6,CCCC=CC(C)C,QMMGoogleDrive
165,11612,3-Heptene,90,CCCC=CCC,QMMGoogleDrive
166,11621,4-Octene,73.3,CCCC=CCCC,QMMGoogleDrive
167,8003,Pentane,61.8,CCCCC,QMMGoogleDrive
168,22468,2-Methyl-1-Hexene,90.7,CCCCC(=C)C,QMMGoogleDrive
169,11551,"2,2-Dimethylhexane",72.5,CCCCC(C)(C)C,QMMGoogleDrive
170,11582,2-Methylhexane,42.4,CCCCC(C)C,QMMGoogleDrive
171,11519,3-Methylheptane,26.8,CCCCC(C)CC,QMMGoogleDrive
172,51806,3-Ethylheptane,84,CCCCC(CC)CC,QMMGoogleDrive
173,11597,1-Hexene,76.4,CCCCC=C,QMMGoogleDrive
174,12330,2-Methyl-2-Heptene,79.8,CCCCC=C(C)C,QMMGoogleDrive
175,11611,2-Heptene,73.4,CCCCC=CC,QMMGoogleDrive
176,32935,3-Octene,72.5,CCCCC=CCC,QMMGoogleDrive
177,8058,Hexane,24.8,CCCCCC,QMMGoogleDrive
178,27519,2-Methyl-1-Heptene,70.2,CCCCCC(=C)C,QMMGoogleDrive
179,14062,"2,2-Dimethylheptane",50.3,CCCCCC(C)(C)C,QMMGoogleDrive
180,11594,2-Methylheptane,21.7,CCCCCC(C)C,QMMGoogleDrive
181,11610,1-Heptene,54.5,CCCCCC=C,QMMGoogleDrive
182,8126,2-Octene,56.3,CCCCCC=CC,QMMGoogleDrive
183,8900,Heptane,0,CCCCCCC,QMMGoogleDrive
184,8125,1-Octene,28.7,CCCCCCC=C,QMMGoogleDrive
185,356,Octane,0,CCCCCCCC,QMMGoogleDrive
186,263,1-Butanol,98,CCCCO,QMMGoogleDrive
187,31272,Butyl acetate,100.8,CCCCOC(=O)C,QMMGoogleDrive
188,1031,n-Propanol,104,CCCO,QMMGoogleDrive
189,6430942,1-Methyl-2-n-propylcyclohexane,30.4,CCC[C@H]1CCCC[C@H]1C,FeatureCreature
190,702,Ethanol,109,CCO,QMMGoogleDrive
191,8857,Ethyl acetate,118,CCOC(=O)C,QMMGoogleDrive
192,7342,Ethyl 2-methylpropanoate,110.3,CCOC(=O)C(C)C,QMMGoogleDrive
193,7150,methyl-benzoate,101.1,COC(=O)C1=CC=CC=C1,FeatureCreature
194,7519,Methoxybenzene,103.3,COC1=CC=CC=C1,QMMGoogleDrive
