,CID,Name,RON,Smiles,Source
126,11601,3-Hexene,94.0,CCC=CCC,QMMGoogleDrive
155,175694,6-Methyl-3-Heptene,91.3,CCC=CCC(C)C,QMMGoogleDrive
156,7843,Butane,94.0,CCCC,QMMGoogleDrive
99,23528,"2,3-Dimethyl-2-Hexene",93.1,CCCC(=C(C)C)C,QMMGoogleDrive
69,12986,2-Methyl-1-Pentene,94.2,CCCC(=C)C,QMMGoogleDrive
14,7895,2-pentanone,105.7,CCCC(=O)C,QMMGoogleDrive
269,11509,3-hexanone,102.0,CCCC(=O)CC,FeatureCreature
9,12180,Methylbutanoate,107.2,CCCC(=O)OC,QMMGoogleDrive
3,7762,Ethyl buanoate,115.4,CCCC(=O)OCC,QMMGoogleDrive
88,11542,"2,2-Dimethylpentane",92.8,CCCC(C)(C)C,QMMGoogleDrive
92,26057,"2,2,3,3-Tetramethylhexane",112.8,CCCC(C)(C)C(C)(C)C,QMMGoogleDrive
139,11233,"3,3-Dimethylhexane",75.5,CCCC(C)(C)CC,QMMGoogleDrive
79,7892,2-Methylpentane,73.4,CCCC(C)C,QMMGoogleDrive
96,86061,"2,3-Dimethyl-1-Hexene",96.3,CCCC(C)C(=C)C,QMMGoogleDrive
140,140668,"3,3,4-Trimethylheptane",86.4,CCCC(C)C(C)(C)CC,QMMGoogleDrive
102,11447,"2,3-Dimethylhexane",71.3,CCCC(C)C(C)C,QMMGoogleDrive
128,18848,3-Methyl-1-Hexene,82.2,CCCC(C)C=C,QMMGoogleDrive
134,11507,3-Methylhexane,52.0,CCCC(C)CC,QMMGoogleDrive
147,11512,4-Methylheptane,26.7,CCCC(C)CCC,QMMGoogleDrive
34,22386,2-pentanol,99.4,CCCC(C)O,QMMGoogleDrive
123,12096,3-Ethylhexane,33.5,CCCC(CC)CC,QMMGoogleDrive
4,7668,Propylbenzene,111.0,CCCC1=CC=CC=C1,QMMGoogleDrive
178,16270,n-Propylcyclopentane,31.2,CCCC1CCCC1,QMMGoogleDrive
177,15505,n-Propylcyclohexane,17.8,CCCC1CCCCC1,QMMGoogleDrive
43,107252,1-Methyl-2-propylcyclohexane,29.9,CCCC1CCCCC1C,QMMGoogleDrive
45,8004,1-Pentene,87.9,CCCC=C,QMMGoogleDrive
65,19966,2-Hexene,92.7,CCCC=CC,QMMGoogleDrive
74,69655,2-Methyl-3-Heptene,94.6,CCCC=CC(C)C,QMMGoogleDrive
125,11612,3-Heptene,90.0,CCCC=CCC,QMMGoogleDrive
148,11621,4-Octene,73.3,CCCC=CCCC,QMMGoogleDrive
181,8003,Pentane,61.8,CCCCC,QMMGoogleDrive
68,22468,2-Methyl-1-Hexene,90.7,CCCCC(=C)C,QMMGoogleDrive
87,11551,"2,2-Dimethylhexane",72.5,CCCCC(C)(C)C,QMMGoogleDrive
78,11582,2-Methylhexane,42.4,CCCCC(C)C,QMMGoogleDrive
133,11519,3-Methylheptane,26.8,CCCCC(C)CC,QMMGoogleDrive
122,51806,3-Ethylheptane,84.0,CCCCC(CC)CC,QMMGoogleDrive
39,11597,1-Hexene,76.4,CCCCC=C,QMMGoogleDrive
71,12330,2-Methyl-2-Heptene,79.8,CCCCC=C(C)C,QMMGoogleDrive
64,11611,2-Heptene,73.4,CCCCC=CC,QMMGoogleDrive
136,32935,3-Octene,72.5,CCCCC=CCC,QMMGoogleDrive
167,8058,Hexane,24.8,CCCCCC,QMMGoogleDrive
67,27519,2-Methyl-1-Heptene,70.2,CCCCCC(=C)C,QMMGoogleDrive
86,14062,"2,2-Dimethylheptane",50.3,CCCCCC(C)(C)C,QMMGoogleDrive
77,11594,2-Methylheptane,21.7,CCCCCC(C)C,QMMGoogleDrive
38,11610,1-Heptene,54.5,CCCCCC=C,QMMGoogleDrive
81,8126,2-Octene,56.3,CCCCCC=CC,QMMGoogleDrive
166,8900,Heptane,0.0,CCCCCCC,QMMGoogleDrive
44,8125,1-Octene,28.7,CCCCCCC=C,QMMGoogleDrive
179,356,Octane,0.0,CCCCCCCC,QMMGoogleDrive
35,263,1-Butanol,98.0,CCCCO,QMMGoogleDrive
28,31272,Butyl acetate,100.8,CCCCOC(=O)C,QMMGoogleDrive
18,1031,n-Propanol,104.0,CCCO,QMMGoogleDrive
380,6430942,1-Methyl-2-n-propylcyclohexane,30.4,CCC[C@H]1CCCC[C@H]1C,FeatureCreature
8,702,Ethanol,109.0,CCO,QMMGoogleDrive
2,8857,Ethyl acetate,118.0,CCOC(=O)C,QMMGoogleDrive
6,7342,Ethyl 2-methylpropanoate,110.3,CCOC(=O)C(C)C,QMMGoogleDrive
386,7150,methyl-benzoate,101.1,COC(=O)C1=CC=CC=C1,FeatureCreature
19,7519,Methoxybenzene,103.3,COC1=CC=CC=C1,QMMGoogleDrive
