SMILES,YSI,YSI_err,Source
CCCCCCC=O,33.8,2.2,Pfefferle
CC/C=C/C(=O)OC,33.6,2.2,Pfefferle
CC(C)C(C)O,33.3,2.2,Pfefferle
C=CCCC(=O)OC,33.3,2.2,Pfefferle
COC(C)(C)CCO,33.2,2.2,Pfefferle
CCC(C)(C)O,32.9,2.2,Pfefferle
CC(=O)CC(C)C,32.8,2.2,Pfefferle
CC(=O)OC(C)(C)C,32.7,2.2,Pfefferle
CCCCCCC(=O)OC,32.5,2.2,Pfefferle
CCC(C)CO,32.3,2.2,Pfefferle
CC(C)CCO,31.9,2.2,Pfefferle
CCCOC(=O)CC,31.9,2.2,Pfefferle
CCCCOCC(C)O,31.7,2.2,Pfefferle
COC(C)(C)C,31.5,2.2,Pfefferle
CCCCOC=O,31,2.3,Pfefferle
COC(=O)C(C)(C)C,30.8,2.3,Pfefferle
CCC(=O)C(C)C,30.7,2.3,Pfefferle
CCCCC(=O)CC,30.7,2.3,Pfefferle
CC(C)(C)C=O,30.6,2.3,Pfefferle
CCCCCC(C)=O,30.4,2.3,Pfefferle
CC(C)COC=O,30.4,2.3,Pfefferle
CCCCCC,30.4,2.3,Pfefferle
C/C=C/C(=O)OCC,30.3,2.3,Pfefferle
CCCC(C)O,30.2,2.3,Pfefferle
CCCCCCO,30,2.3,Pfefferle
CCC(C)(C)C(=O)O,30,2.3,Pfefferle
C=CC(=O)OCCC,30,2.3,Pfefferle
CC(C)(C)OC=O,30,2.3,Pfefferle
CCOC(=O)C(C)CC,29.3,2.3,Pfefferle
CCC(O)CC,29.1,2.3,Pfefferle
CCC(C=O)CC,29,2.3,Pfefferle
CCC(C)C(C)=O,29,2.3,Pfefferle
C=C(C)C(=O)OC,29,2.3,Pfefferle
CCC(C)OC,28.6,2.3,Pfefferle
CCCC(=O)CCC,28.5,2.3,Pfefferle
CCCCC(=O)OCC,28.4,2.3,Pfefferle
COC(=O)CC(C)C,28.4,2.3,Pfefferle
